sample	pop	pop_desc	country	group	subgroup	study	sample_age	description	lat	long
S_BantuKenya-2	BantuKenya	BantuKenya	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Luhya-1	Luhya	Luhya	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Luhya-2	Luhya	Luhya	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Luo-1	Luo	Luo	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Luo-2	Luo	Luo	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Masai-1	Masai	Masai	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Masai-2	Masai	Masai	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Somali-1	Somali	Somali	Kenya	AFR	Africa	SGDP	Contemporan	NA	NA	NA
B_Ju_hoan_North-4	Ju_hoan_North	Ju_hoan_North	Namibia	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Ju_hoan_North-1	Ju_hoan_North	Ju_hoan_North	Namibia	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Ju_hoan_North-2	Ju_hoan_North	Ju_hoan_North	Namibia	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Ju_hoan_North-3	Ju_hoan_North	Ju_hoan_North	Namibia	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Esan-1	Esan	Esan	Nigeria	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Esan-2	Esan	Esan	Nigeria	AFR	Africa	SGDP	Contemporan	NA	NA	NA
B_Yoruba-3	Yoruba	Yoruba	Nigeria	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Yoruba-1	Yoruba	Yoruba	Nigeria	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Yoruba-2	Yoruba	Yoruba	Nigeria	AFR	Africa	SGDP	Contemporan	NA	NA	NA
B_Mandenka-3	Mandenka	Mandenka	Senegal	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Mandenka-1	Mandenka	Mandenka	Senegal	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Mandenka-2	Mandenka	Mandenka	Senegal	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Mende-1	Mende	Mende	SierraLeone	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Mende-2	Mende	Mende	SierraLeone	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Khomani_San-1	Khomani_San	Khomani_San	SouthAfrica	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Khomani_San-2	Khomani_San	Khomani_San	SouthAfrica	AFR	Africa	SGDP	Contemporan	NA	NA	NA
B_Dinka-3	Dinka	Dinka	Sudan	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Dinka-1	Dinka	Dinka	Sudan	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Dinka-2	Dinka	Dinka	Sudan	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Saharawi-1	Saharawi	Saharawi	Western Sahara (Morocco)	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Saharawi-2	Saharawi	Saharawi	Western Sahara (Morocco)	AFR	Africa	SGDP	Contemporan	NA	NA	NA
S_Cambodian-1	Cambodian	Cambodian	Cambodia	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Cambodian-2	Cambodian	Cambodian	Cambodia	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
B_Dai-4	Dai	Dai	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Dai-1	Dai	Dai	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Dai-2	Dai	Dai	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Dai-3	Dai	Dai	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Daur-2	Daur	Daur	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
B_Han-3	Han	Han	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Han-1	Han	Han	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Han-2	Han	Han	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Hezhen-1	Hezhen	Hezhen	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Hezhen-2	Hezhen	Hezhen	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Lahu-1	Lahu	Lahu	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Lahu-2	Lahu	Lahu	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Miao-1	Miao	Miao	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Miao-2	Miao	Miao	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Naxi-1	Naxi	Naxi	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Naxi-2	Naxi	Naxi	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Naxi-3	Naxi	Naxi	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Oroqen-1	Oroqen	Oroqen	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Oroqen-2	Oroqen	Oroqen	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_She-1	She	She	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_She-2	She	She	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Tu-1	Tu	Tu	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Tu-2	Tu	Tu	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Tujia-1	Tujia	Tujia	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Tujia-2	Tujia	Tujia	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Uygur-1	Uygur	Uygur	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Uygur-2	Uygur	Uygur	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Xibo-1	Xibo	Xibo	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Xibo-2	Xibo	Xibo	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Yi-1	Yi	Yi	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Yi-2	Yi	Yi	China	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Japanese-1	Japanese	Japanese	Japan	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Japanese-2	Japanese	Japanese	Japan	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Japanese-3	Japanese	Japanese	Japan	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Korean-1	Korean	Korean	Korea	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Korean-2	Korean	Korean	Korea	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Burmese-1	Burmese	Burmese	Myanmar	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Burmese-2	Burmese	Burmese	Myanmar	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Ami-1	Ami	Ami	Taiwan	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Ami-2	Ami	Ami	Taiwan	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Atayal-1	Atayal	Atayal	Taiwan	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Thai-1	Thai	Thai	Thailand	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Thai-2	Thai	Thai	Thailand	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Kinh-1	Kinh	Kinh	Vietnam	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Kinh-2	Kinh	Kinh	Vietnam	EAS	East Asia	SGDP	Contemporan	NA	NA	NA
S_Abkhasian-1	Abkhasian	Abkhasian	Abkhazia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Albanian-1	Albanian	Albanian	Albania	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Armenian-1	Armenian	Armenian	Armenia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Armenian-2	Armenian	Armenian	Armenia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Bulgarian-1	Bulgarian	Bulgarian	Bulgaria	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Bulgarian-2	Bulgarian	Bulgarian	Bulgaria	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Czech-2	Czech	Czech	Czechoslovia(pre1989)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_English-1	English	English	UK	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_English-2	English	English	UK	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Estonian-1	Estonian	Estonian	Estonia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Estonian-2	Estonian	Estonian	Estonia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Finnish-1	Finnish	Finnish	Finland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Finnish-2	Finnish	Finnish	Finland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Finnish-3	Finnish	Finnish	Finland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Saami-1	Saami	Saami	Finland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Saami-2	Saami	Saami	Finland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Basque-1	Basque	Basque	France	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Basque-2	Basque	Basque	France	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
B_French-3	French	French	France	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_French-1	French	French	France	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_French-2	French	French	France	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Georgian-1	Georgian	Georgian	Georgia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Georgian-2	Georgian	Georgian	Georgia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
B_Crete-1	Crete	Crete	Greece	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
B_Crete-2	Crete	Crete	Greece	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Greek-1	Greek	Greek	Greece	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Greek-2	Greek	Greek	Greece	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Hungarian-1	Hungarian	Hungarian	Hungary	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Hungarian-2	Hungarian	Hungarian	Hungary	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Icelandic-1	Icelandic	Icelandic	Iceland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Icelandic-2	Icelandic	Icelandic	Iceland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Iranian-1	Iranian	Iranian	Iran	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Iranian-2	Iranian	Iranian	Iran	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Iraqi_Jew-1	Iraqi_Jew	Iraqi_Jew	Iraq	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Iraqi_Jew-2	Iraqi_Jew	Iraqi_Jew	Iraq	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Samaritan-1	Samaritan	Samaritan	Israel	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Druze-1	Druze	Druze	Israel(Carmel)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Druze-2	Druze	Druze	Israel(Carmel)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Palestinian-3	Palestinian	Palestinian	Israel(Central)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Palestinian-1	Palestinian	Palestinian	Israel(Central)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Palestinian-2	Palestinian	Palestinian	Israel(Central)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_BedouinB-1	BedouinB	BedouinB	Israel(Negev)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_BedouinB-2	BedouinB	BedouinB	Israel(Negev)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
B_Sardinian-3	Sardinian	Sardinian	Italy	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Bergamo-1	Bergamo	Bergamo	Italy(Bergamo)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Bergamo-2	Bergamo	Bergamo	Italy(Bergamo)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Sardinian-1	Sardinian	Sardinian	Italy(Sardinia)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Sardinian-2	Sardinian	Sardinian	Italy(Sardinia)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Tuscan-1	Tuscan	Tuscan	Italy(Tuscany)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Tuscan-2	Tuscan	Tuscan	Italy(Tuscany)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Jordanian-2	Jordanian	Jordanian	Jordan	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Jordanian-1	Jordanian	Jordanian	Jordan	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Jordanian-3	Jordanian	Jordanian	Jordan	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Norwegian-1	Norwegian	Norwegian	Norway	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Orcadian-1	Orcadian	Orcadian	OrkneyIslands	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Orcadian-2	Orcadian	Orcadian	OrkneyIslands	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Polish-1	Polish	Polish	Poland	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Abkhasian-2	Abkhasian	Abkhasian	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Chechen-1	Chechen	Chechen	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Lezgin-1	Lezgin	Lezgin	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Lezgin-2	Lezgin	Lezgin	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_North_Ossetian-1	North_Ossetian	North_Ossetian	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_North_Ossetian-2	North_Ossetian	North_Ossetian	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Russian-1	Russian	Russian	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Russian-2	Russian	Russian	Russia	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Adygei-1	Adygei	Adygei	Russia(Caucasus)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Adygei-2	Adygei	Adygei	Russia(Caucasus)	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Spanish-1	Spanish	Spanish	Spain	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Spanish-2	Spanish	Spanish	Spain	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Tajik-1	Tajik	Tajik	Tajikistan	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Tajik-2	Tajik	Tajik	Tajikistan	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Turkish-1	Turkish	Turkish	Turkey	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Turkish-2	Turkish	Turkish	Turkey	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Yemenite_Jew-1	Yemenite_Jew	Yemenite_Jew	Yemen	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
S_Yemenite_Jew-2	Yemenite_Jew	Yemenite_Jew	Yemen	EUR	West Eurasia	SGDP	Contemporan	NA	NA	NA
B_Australian-3	Australian	Australian	Australia	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
B_Australian-4	Australian	Australian	Australia	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
S_Dusun-1	Dusun	Dusun	Brunei	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
S_Dusun-2	Dusun	Dusun	Brunei	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
S_Maori-1	Maori	Maori	New Zealand	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
S_Bougainville-1	Bougainville	Bougainville	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Bougainville-2	Bougainville	Bougainville	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
B_Papuan-15	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-3	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-1	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-10	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-11	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-12	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-13	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-14	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-2	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-4	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-5	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-6	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-7	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-8	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Papuan-9	Papuan	Papuan	Papua New Guinea	OCE	Papua New Guinea	SGDP	Contemporan	NA	NA	NA
S_Igorot-1	Igorot	Igorot	Philippines	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
S_Igorot-2	Igorot	Igorot	Philippines	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
S_Hawaiian-1	Hawaiian	Hawaiian	USA	OCE	Oceania	SGDP	Contemporan	NA	NA	NA
